Day,Month,Year,Sunrise,Sunset
1,1,2016,08:06,16:02
2,1,2016,08:06,16:03
3,1,2016,08:06,16:04
4,1,2016,08:06,16:05
5,1,2016,08:06,16:06
6,1,2016,08:05,16:07
7,1,2016,08:05,16:09
8,1,2016,08:04,16:10
9,1,2016,08:04,16:11
10,1,2016,08:03,16:13
11,1,2016,08:03,16:14
12,1,2016,08:02,16:15
13,1,2016,08:01,16:17
14,1,2016,08:01,16:18
15,1,2016,08:00,16:20
16,1,2016,07:59,16:22
17,1,2016,07:58,16:23
18,1,2016,07:57,16:25
19,1,2016,07:56,16:26
20,1,2016,07:55,16:28
21,1,2016,07:54,16:30
22,1,2016,07:53,16:31
23,1,2016,07:52,16:33
24,1,2016,07:51,16:35
25,1,2016,07:49,16:36
26,1,2016,07:48,16:38
27,1,2016,07:47,16:40
28,1,2016,07:46,16:42
29,1,2016,07:44,16:44
30,1,2016,07:43,16:45
31,1,2016,07:41,16:47
1,2,2016,07:40,16:49
2,2,2016,07:38,16:51
3,2,2016,07:37,16:53
4,2,2016,07:35,16:54
5,2,2016,07:33,16:56
6,2,2016,07:32,16:58
7,2,2016,07:30,17:00
8,2,2016,07:28,17:02
9,2,2016,07:27,17:04
10,2,2016,07:25,17:05
11,2,2016,07:23,17:07
12,2,2016,07:21,17:09
13,2,2016,07:19,17:11
14,2,2016,07:17,17:13
15,2,2016,07:16,17:15
16,2,2016,07:14,17:16
17,2,2016,07:12,17:18
18,2,2016,07:10,17:20
19,2,2016,07:08,17:22
20,2,2016,07:06,17:24
21,2,2016,07:04,17:25
22,2,2016,07:02,17:27
23,2,2016,07:00,17:29
24,2,2016,06:58,17:31
25,2,2016,06:56,17:33
26,2,2016,06:53,17:34
27,2,2016,06:51,17:36
28,2,2016,06:49,17:38
29,2,2016,06:47,17:40
1,3,2016,06:45,17:41
2,3,2016,06:43,17:43
3,3,2016,06:41,17:45
4,3,2016,06:38,17:47
5,3,2016,06:36,17:48
6,3,2016,06:34,17:50
7,3,2016,06:32,17:52
8,3,2016,06:30,17:54
9,3,2016,06:27,17:55
10,3,2016,06:25,17:57
11,3,2016,06:23,17:59
12,3,2016,06:21,18:01
13,3,2016,06:18,18:02
14,3,2016,06:16,18:04
15,3,2016,06:14,18:06
16,3,2016,06:12,18:07
17,3,2016,06:09,18:09
18,3,2016,06:07,18:11
19,3,2016,06:05,18:13
20,3,2016,06:02,18:14
21,3,2016,06:00,18:16
22,3,2016,05:58,18:18
23,3,2016,05:56,18:19
24,3,2016,05:53,18:21
25,3,2016,05:51,18:23
26,3,2016,05:49,18:24
27,3,2016,06:46,19:26
28,3,2016,06:44,19:28
29,3,2016,06:42,19:29
30,3,2016,06:40,19:31
